"File","Var"
"netlify\functions\square-webhook.ts","SITE_URL"
"netlify\functions\create-square-order.ts","SQUARE_ACCESS_TOKEN"
"netlify\functions\loyalty-redeem.ts","SQUARE_ACCESS_TOKEN"
"netlify\functions\order-get.ts","SQUARE_ACCESS_TOKEN"
"netlify\functions\pay-square-order.ts","SQUARE_ACCESS_TOKEN"
"netlify\functions\square-webhook.ts","SQUARE_ACCESS_TOKEN"
"netlify\functions\create-square-order.ts","SQUARE_ENV"
"netlify\functions\loyalty-redeem.ts","SQUARE_ENV"
"netlify\functions\order-get.ts","SQUARE_ENV"
"netlify\functions\pay-square-order.ts","SQUARE_ENV"
"netlify\functions\square-webhook.ts","SQUARE_ENV"
"netlify\functions\create-square-order.ts","SQUARE_LOCATION_ID"
"netlify\functions\list-catalog.ts","SQUARE_LOCATION_ID"
"netlify\functions\list-catalog.ts","SQUARE_LOCATION_ID"
"netlify\functions\list-catalog.ts","SQUARE_LOCATION_ID"
"netlify\functions\pay-square-order.ts","SQUARE_LOCATION_ID"
"netlify\functions\create-square-order.ts","SQUARE_PROD_ACCESS_TOKEN"
"netlify\functions\pay-square-order.ts","SQUARE_PROD_ACCESS_TOKEN"
"netlify\functions\create-square-order.ts","SQUARE_PROD_LOCATION_ID"
"netlify\functions\pay-square-order.ts","SQUARE_PROD_LOCATION_ID"
"netlify\functions\create-square-order.ts","SQUARE_SANDBOX_ACCESS_TOKEN"
"netlify\functions\pay-square-order.ts","SQUARE_SANDBOX_ACCESS_TOKEN"
"netlify\functions\create-square-order.ts","SQUARE_SANDBOX_LOCATION_ID"
"netlify\functions\pay-square-order.ts","SQUARE_SANDBOX_LOCATION_ID"
"netlify\functions\square-webhook.ts","SQUARE_WEBHOOK_SIGNATURE_KEY"
"netlify\functions\coupon-validate.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\loyalty-get-balance.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\loyalty-redeem.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\loyalty-redeem-reward.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\loyalty-send-otp.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\loyalty-verify-otp.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\redeem-generate-code.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\square-webhook.ts","SUPABASE_SERVICE_ROLE_KEY"
"netlify\functions\coupon-validate.ts","SUPABASE_URL"
"netlify\functions\loyalty-get-balance.ts","SUPABASE_URL"
"netlify\functions\loyalty-redeem.ts","SUPABASE_URL"
"netlify\functions\loyalty-redeem-reward.ts","SUPABASE_URL"
"netlify\functions\loyalty-send-otp.ts","SUPABASE_URL"
"netlify\functions\loyalty-verify-otp.ts","SUPABASE_URL"
"netlify\functions\redeem-generate-code.ts","SUPABASE_URL"
"netlify\functions\square-webhook.ts","SUPABASE_URL"
"netlify\functions\loyalty-send-otp.ts","TWILIO_ACCOUNT_SID"
"netlify\functions\loyalty-send-otp.ts","TWILIO_AUTH_TOKEN"
"netlify\functions\loyalty-send-otp.ts","TWILIO_FROM"
