"File","NameGuess","Exports","HasSupabase","HasSquareSDK","UsesEnv","FetchRoutes"
"netlify\functions\coupon-validate.ts","coupon-validate","default","True","True","True",""
"netlify\functions\create-square-order.ts","create-square-order","handler","False","True","True",""
"netlify\functions\list-catalog.ts","list-catalog","handler","False","True","True",""
"netlify\functions\loyalty-get-balance.ts","loyalty-get-balance","handler","True","False","True",""
"netlify\functions\loyalty-redeem.ts","loyalty-redeem","handler","True","True","True",""
"netlify\functions\loyalty-redeem-reward.ts","loyalty-redeem-reward","handler","True","False","True",""
"netlify\functions\loyalty-send-otp.ts","loyalty-send-otp","handler","True","False","True",""
"netlify\functions\loyalty-verify-otp.ts","loyalty-verify-otp","handler","True","False","True",""
"netlify\functions\order-get.ts","order-get","handler","False","True","True",""
"netlify\functions\pay-square-order.ts","pay-square-order","handler","False","True","True",""
"netlify\functions\redeem-generate-code.ts","redeem-generate-code","default","True","True","True",""
"netlify\functions\square-webhook.ts","square-webhook","default","True","True","True","square-webhook"
